afil	Phosphodiesterase inhibitors
asone	Corticosteroid
bicin	Antineoplastic
ane	Inhaled anesthetics
dazole	Anthelmintic
dipine	calcium channel blockers, nifedipine derivatives
dronate	Bisphosphonate
eprazole	Proton pump inhibitor (PPI)
azepam	diazepam derivatives
fenac	NSAID
floxacin	Fluoroquinolone
gliptin	Antidiabetic inhibitor of the DPP-4 enzyme
glitazone	Antidiabetic thiazolidinedione
iramine	Antihistamine
lamide	Carbonic anhydrase inhibitor
mab	monoclonal antibodies
mustine	antineoplastic, alkylating agents, (b-chloroethyl) amine derivatives
mycin	antibiotics, produced by Streptomyces strains
nacin	Muscarinic antagonist (anticholinergic)
nazole	Antifungal
olone	steroids other than prednisolone derivatives
onide	steroids for topical use, acetal derivatives
oprazole	Proton pump inhibitor (PPI)
parin	heparin derivatives including low molecular mass heparins
profen	anti-inflammatory agents, ibuprofen derivatives
ridone	atypical antipsychotic
sartan	angiotensin II receptor antagonists, antihypertensive (non-peptidic)
semide	diuretics, furosemide derivatives
setron	serotonin receptor antagonists (5-HT3)
statin	HMG-CoA reductase inhibitors
tadine	antihistamine
thiazide	thiazide diuretic (water pill)
tinib	antineoplastic (kinase inhibitor)
trel	female hormone (progestin)
tretin	retinoid; dermatologic agent; form of vitamin A
tyline	tricyclic antidepressant (TCA)
vir	antiviral; anti-HIV
vudine	antiviral; antineoplastics, zidovudine derivatives
zepam	benzodiazepine
zodone	antidepressant
zolam	Benzodiazepinea
azine	Phenothiazines
azole	Azole antifungals
barbital	Barbiturates
caine	local anaesthetics
cillin	Penicillin antibiotics
cycline	antibiotics, tetracycline derivatives
etine	Selective serotonin reuptake inhibitors
feb	Selective estrogen response modifiers
fene	Selective estrogen response modifiers
fungin	antifungal antibiotics
grastim	granulocyte colony stimulatory factor (G-CSF) type) substances
gramostim	granulocyte macrophage colony stimulating factor (GM-CSF) type substances
ide	Loop diuretics
ipine	Dihydropyridine calcium channel blockers
ipramine	Tricyclic antidepressants
ium	Nondepolarizing paralytics
uronium	Nondepolarizing paralytics
lukast	leukotriene receptor antagonist
navir	Protease inhibitors
olol	b-adrenoreceptor antagonists
oxin	Cardiac glycoside
phylline	Methylxanthine
pril	angiotensin-converting enzyme inhibitors
quine	Quinolone derivatives
tecan	antineoplastics, topoisomerase I inhibitors
terol	bronchodilators, phenethylamine derivatives
tidine	histamine H2-receptor antagonists, cimetidine derivatives
tine	Allylamine antifungals
toposide	Topoisomerase II inhibitor
triptan	5-HT1B/1D agonist
tropin	Pituitary hormone
vaptan	Vasopressin receptor antagonist
zosin	α1 antagonist
ac	anti-inflammatory agents, ibufenac derivatives
actide	synthetic polypeptides with a corticotrophin-like action
adol	analgesics
adom	analgesics, tifluadom derivatives
afenone	antiarrhythmics, propafenone derivatives
aldrate	antacids, aluminium salts
alox	antacids, aluminium derivatives
amivir	neuraminidase inhibitors
anserin	serotonin receptor antagonists (mostly 5-HT2)
antel	anthelminthics (underfined group)
apine	psychoactive
arabine	arabinofuranosyl derivatives
arit	antiarthritic substances
arol	anticoagulants, dicoumarol derivatives
pase	lipase
astine	antihistaminics
